state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_no_max_datetime,second_max_non_overlapping_value,second_no_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
48,453,0014,44201,2,30.354436,-97.760255,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,4621,86,Y,210,245,0,0,0,0,Certification not required,0,0.041248,0.010989,0.067,2016-04-23 10:00:00.000000 UTC,0.066,2016-03-14 11:00:00.000000 UTC,0.064,2016-02-12 12:00:00.000000 UTC,0.063,2016-05-05 11:00:00.000000 UTC,,,,,0.064,0.063,0.06,0.057,0.051,0.045,0.034,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-12-22
48,453,0014,42101,1,30.354436,-97.760255,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2010,Parts per million,No Events,8470,97,Y,355,365,0,283,0,0,Certified,0,0.05072,0.079488,2.2,2010-01-09 18:00:00.000000 UTC,1,2010-01-09 17:00:00.000000 UTC,0.8,2010-01-15 00:00:00.000000 UTC,0.7,2010-01-09 19:00:00.000000 UTC,,,,,0.3,0.3,0.2,0.1,0.1,0,0,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-10
48,453,0014,62101,1,30.354436,-97.760255,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2015,Degrees Fahrenheit,No Events,8751,100,Y,365,365,0,9,,,Certification not required,0,68.247857,15.635635,101,2015-08-10 16:00:00.000000 UTC,101,2015-08-11 15:00:00.000000 UTC,101,2015-08-11 16:00:00.000000 UTC,101,2015-08-11 17:00:00.000000 UTC,,,,,96,94,91,87,79,71,44,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-03-01
48,453,0014,42401,1,30.354436,-97.760255,NAD83,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1991,Parts per billion,No Events,1278,15,N,52,365,0,0,,,Certification not required,0,2.089202,4.066964,10,1991-01-17 10:00:00.000000 UTC,10,1991-01-17 11:00:00.000000 UTC,10,1991-01-28 15:00:00.000000 UTC,10,1991-02-13 14:00:00.000000 UTC,,,,,10,10,10,10,0,0,0,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2010-10-13
48,453,0014,42101,1,30.354436,-97.760255,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2004,Parts per million,No Events,8548,97,Y,361,366,0,223,0,0,Certified,0,0.159347,0.112921,1.2,2004-01-23 08:00:00.000000 UTC,0.9,2004-01-12 18:00:00.000000 UTC,0.9,2004-01-12 19:00:00.000000 UTC,0.9,2004-01-14 08:00:00.000000 UTC,,,,,0.6,0.4,0.4,0.3,0.2,0.1,0,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-14
48,453,0014,42101,1,30.354436,-97.760255,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2001,Parts per million,No Events,8569,98,Y,351,365,0,0,0,0,Certified,0,0.311425,0.13506,1.1,2001-03-31 01:00:00.000000 UTC,1.1,2001-03-31 02:00:00.000000 UTC,1,2001-03-30 23:00:00.000000 UTC,1,2001-03-31 00:00:00.000000 UTC,1.1,2001-03-31 01:00:00.000000 UTC,0.9,2001-01-13 20:00:00.000000 UTC,0.7,0.7,0.6,0.5,0.4,0.3,0.2,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-14
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2000,Parts per million,No Events,8560,97,Y,237,245,0,0,6,6,Certified,0,0.046278,0.016507,0.093,2000-09-05 11:00:00.000000 UTC,0.089,2000-09-02 10:00:00.000000 UTC,0.088,2000-08-13 11:00:00.000000 UTC,0.088,2000-09-18 10:00:00.000000 UTC,,,,,0.088,0.085,0.079,0.072,0.057,0.044,0.033,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-21
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8742,100,Y,245,245,0,0,13,13,Certified,0,0.048073,0.015118,0.088,2006-06-08 11:00:00.000000 UTC,0.086,2006-06-29 10:00:00.000000 UTC,0.085,2006-06-30 11:00:00.000000 UTC,0.082,2006-06-13 10:00:00.000000 UTC,,,,,0.085,0.081,0.076,0.07,0.059,0.047,0.038,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-16
48,453,0014,44201,2,30.354436,-97.760255,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1995,Parts per million,No Events,8242,98,Y,241,245,0,0,28,28,Certification not required,0,0.051697,0.018121,0.097,1995-06-21 10:00:00.000000 UTC,0.09,1995-09-02 10:00:00.000000 UTC,0.09,1995-09-03 10:00:00.000000 UTC,0.089,1995-06-14 10:00:00.000000 UTC,,,,,0.09,0.089,0.083,0.078,0.065,0.049,0.038,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-30
48,453,0014,44201,2,30.354436,-97.760255,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2015,Parts per million,Events Excluded,8612,100,Y,244,245,0,124,0,0,Requested but not yet concurred,0,0.047333,0.015654,0.093,2015-08-29 14:00:00.000000 UTC,0.088,2015-08-27 13:00:00.000000 UTC,0.086,2015-08-03 11:00:00.000000 UTC,0.084,2015-10-07 13:00:00.000000 UTC,,,,,0.086,0.081,0.075,0.07,0.06,0.048,0.039,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-07-31
48,453,0014,62101,1,30.354436,-97.760255,NAD83,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1996,Degrees Fahrenheit,No Events,8720,99,Y,365,366,0,30,,,Certification not required,0,67.63406,16.205086,99,1996-06-19 16:00:00.000000 UTC,99,1996-06-19 17:00:00.000000 UTC,99,1996-06-20 16:00:00.000000 UTC,99,1996-06-20 17:00:00.000000 UTC,,,,,96,94,91,87,79,71,43,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2010-03-04
48,453,0021,62101,1,30.263208,-97.712883,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,6569,75,Y,274,366,0,7,,,Certification not required,0,72.41772,13.822488,101,2016-08-12 15:00:00.000000 UTC,101,2016-08-12 16:00:00.000000 UTC,101,2016-08-12 17:00:00.000000 UTC,99,2016-08-10 16:00:00.000000 UTC,,,,,97,96,93,89,82,75,52,Austin Webberville Rd,2600B Webberville Rd,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-12-23
48,453,0017,42101,1,30.264167,-97.746111,NAD27,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1990,Parts per million,No Events,6296,72,N,264,365,0,0,0,0,Certified,0,1.177398,1.072667,9.7,1990-11-15 19:00:00.000000 UTC,9.2,1990-01-08 08:00:00.000000 UTC,8.3,1990-11-15 20:00:00.000000 UTC,8,1990-10-03 14:00:00.000000 UTC,,,,,5.2,4.5,3.4,2.4,1.5,0.9,0.2,NW OF COLORADO & W. CESAR CHAVEZ STREETS INTERSECTION,WEST FIRST AND COLORADO STREETS,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-28
48,453,0014,42101,1,30.354436,-97.760255,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1997,Parts per million,No Events,8117,93,Y,348,365,0,617,0,0,Certification not required,0,0.40223,0.234754,4.5,1997-02-12 11:00:00.000000 UTC,2.3,1997-04-18 07:00:00.000000 UTC,2.3,1997-11-03 20:00:00.000000 UTC,1.9,1997-02-26 20:00:00.000000 UTC,,,,,1.1,1,0.8,0.7,0.5,0.4,0.1,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2016-04-22
48,453,0014,62101,1,30.354436,-97.760255,NAD83,Outdoor Temperature,1 HOUR,,Observed Values,Multiple Methods Used,1995,Degrees Fahrenheit,No Events,8742,100,Y,365,365,0,0,,,Certification not required,0,68.219172,15.975349,108,1995-07-28 13:00:00.000000 UTC,108,1995-07-28 15:00:00.000000 UTC,107,1995-07-28 14:00:00.000000 UTC,107,1995-07-28 16:00:00.000000 UTC,,,,,100,99,94,89,79,69,46,Austin Northwest,3724 North Hills Dr,Texas,Travis,Austin,"Austin-Round Rock, TX",2010-03-04
